business_status,,formatted_address,lat,lng,name,place_id,rating,user_ratings_total,phone_number
OPERATIONAL,Smoke/Vape,"2147 Barrett Station Rd, Des Peres, MO 63131, United States",38.5975766,-90.4754417,Greatest Vape Shop Ever Part Two,ChIJZ5gBg2vT2IcREWYuwF1CyHA,5,57,(314) 394-1096
OPERATIONAL,Smoke/Vape,"2131 Barrett Station Rd, Des Peres, MO 63131, United States",38.5979007,-90.4756769,Coughing Cardinal,ChIJs2PgnkTS2IcRxNyK8_fFlD8,4.7,857,(314) 966-2473
OPERATIONAL,Smoke/Vape,"12306 Manchester Rd, Des Peres, MO 63131, United States",38.6029801,-90.4419454,CBD Kratom,ChIJtSp7SKTN2IcRNEjkLSelsr8,5,34,(314) 394-0048
OPERATIONAL,Smoke/Vape,"9923 Watson Rd, St. Louis, MO 63126, United States",38.5568761,-90.3942889,Smoke Smart,ChIJw9St6JfO2IcRAKYYIgzU8iQ,4.5,60,(314) 394-2727
OPERATIONAL,Smoke/Vape,"7576 Watson Rd, Shrewsbury, MO 63119, United States",38.5774939,-90.3278196,Exclusive Smoke & Vape,ChIJ6fjO_YnL2IcRhR9FInJrcgk,4.8,53,(314) 733-5001
OPERATIONAL,Smoke/Vape,"1463 Chambers Rd, St. Louis, MO 63135, United States",38.7498387,-90.2805483,Split It Smoke Shop,ChIJRXd2YlxJ34cRM2ssdgkwRMQ,4.6,24,(314) 222-3870
OPERATIONAL,Smoke/Vape,"6254 Delmar Blvd, St. Louis, MO 63130, United States",38.6555255,-90.3017983,Emporium Smoke Shop,ChIJ50JVU1Q134cRn9AZDGllf3k,4.4,315,(314) 721-6277
OPERATIONAL,Smoke/Vape,"13084 Tesson Ferry Rd, St. Louis, MO 63128, United States",38.4917649,-90.3818481,"Nics CBD and Vape | Vapes, Disposables | Smoke Shop | Hookah | Kratom",ChIJVafT5YnP2IcROQlvI5hA5kI,4.9,59,(314) 270-8575
OPERATIONAL,Smoke/Vape,"8450 Watson Rd, St. Louis, MO 63119, United States",38.5651616,-90.3532623,Titanium Vapor,ChIJv_7RAGHJ2IcRjA8XSKpp97Y,4.8,401,(314) 585-5718
OPERATIONAL,Smoke/Vape,"40 Fortune Ln, Kirkwood, MO 63122, United States",38.574373,-90.3887356,Chronic Needs Smoke Shop,ChIJ__8j4xvM2IcR1r7hlX6fvXc,5,1,(314) 403-2333
OPERATIONAL,Smoke/Vape,"4235 Bayless Ave, St. Louis, MO 63123, United States",38.5482138,-90.2912866,MD Night Owl Tobacco,ChIJ73CxDRi22IcROk8lbIhp9Ls,4.6,30,(314) 802-7836
OPERATIONAL,Smoke/Vape,"1905 Schuetz Rd, St. Louis, MO 63146, United States",38.6953788,-90.4292081,"Nics CBD and Vape | Vapes, Disposables | Smoke Shop",ChIJUV0L9Ggz34cRjZVLIC25jDE,5,21,(314) 942-7885
OPERATIONAL,Smoke/Vape,"14796 Clayton Rd, Ballwin, MO 63011, United States",38.617622,-90.5364678,Blue Vapor,ChIJjxKZAI_U2IcRbTVnw9Q6ffc,5,340,(636) 220-9311
OPERATIONAL,Smoke/Vape,"2516 S Brentwood Blvd, Brentwood, MO 63144, United States",38.6158349,-90.3483536,St. Louis Vapor,ChIJt96PMg_L2IcRO1V2a_Vu1Ck,4.2,75,(636) 294-2755
OPERATIONAL,Smoke/Vape,"5415 Chippewa St, St. Louis, MO 63109, United States",38.5926451,-90.2838858,Good Times Smoke Shop,ChIJt_xUWZS12IcR-aiS0wofSPY,4.3,277,(314) 353-2222
OPERATIONAL,Smoke/Vape,"8820 Gravois Rd, Affton, MO 63123, United States",38.5559155,-90.3108153,"Vapes & Snacks, LLC",ChIJeW57iyTJ2IcRKlP_JLrj36c,4.8,26,(314) 269-6263
OPERATIONAL,Smoke/Vape,"1739 W 5th St, Eureka, MO 63025, United States",38.5051848,-90.6661387,St. Louis Vapor,ChIJGfZcl8co2YcR9mG8er1yotE,4.6,40,(636) 294-2755
OPERATIONAL,Smoke/Vape,"15001 Manchester Rd, Ballwin, MO 63011, United States",38.5935088,-90.5463661,Aqueous Vapor Ballwin,ChIJc-ymj0HU2IcRPtxFcLvqVUY,4,78,(636) 686-7219
OPERATIONAL,Smoke/Vape,"8506 Olive Blvd, St. Louis, MO 63132, United States",38.673805,-90.355542,Mr. Nice Guy,ChIJb4kjr-o034cRSCqPzNekAeE,4.8,1129,(314) 736-4121
OPERATIONAL,Smoke/Vape,"10544 Page Ave, St. Louis, MO 63114, United States",38.69162,-90.3939008,Cool Smoke,ChIJbTQA1Aoz34cREXi0Pj88Kk0,4.8,249,(314) 455-9411
OPERATIONAL,Smoke/Vape,"409 Watson Plaza, St. Louis, MO 63126, United States",38.5572407,-90.3901715,Aqueous Vapor - Crestwood,ChIJMcmFFSnP2IcRnjo3eWp3SpM,4.5,37,(314) 821-1174
OPERATIONAL,Smoke/Vape,"8051 Watson Rd #34, Webster Groves, MO 63119, United States",38.5680209,-90.3424583,Discount Smoke Shop,ChIJD4yR633J2IcRWc8xsoPMMOg,4.2,42,(314) 918-9624
OPERATIONAL,Smoke/Vape,"14628 Manchester Rd, Ballwin, MO 63021, United States",38.5926814,-90.528819,ST. Louis Vapor,ChIJM7mrR3TU2IcRQaOhPhk-XWo,4.7,74,(636) 294-2755
OPERATIONAL,Smoke/Vape,"15065 Manchester Rd, Ballwin, MO 63011, United States",38.5932261,-90.5493102,Vapor 100,ChIJUU_JMBrV2IcRLo2W3uSsm9k,4.8,21,(636) 220-2280
OPERATIONAL,Smoke/Vape,"4521 S Kingshighway Blvd, St. Louis, MO 63109, United States",38.5872147,-90.2764545,The No Smoke Shop,ChIJUV9S1sC12IcRFqusjEawQQ8,4.5,174,(314) 696-2855
OPERATIONAL,Smoke/Vape,"10290 Page Ave, St. Louis, MO 63132, United States",38.690679,-90.3879733,314 Smoke Shop,ChIJCTwZBHoz34cRZNRRbXoDvm4,3.9,15,(314) 222-3493
OPERATIONAL,Smoke/Vape,"766 Lemay Ferry Rd, St. Louis, MO 63125, United States",38.5386361,-90.2819405,Lemay Vapor,ChIJAb0oazi22IcRIPA6OSIHyr0,4.6,101,(314) 638-7170
OPERATIONAL,Smoke/Vape,"3165 S Kingshighway Blvd, St. Louis, MO 63139, United States",38.6032201,-90.2701181,Z-Smoke n Vape,ChIJ9RvNYie12IcRqUAJOsocy-I,5,8,(314) 680-6363
OPERATIONAL,Smoke/Vape,"6035 Chippewa St, St. Louis, MO 63109, United States",38.5938253,-90.2957106,Lit smoke,ChIJRW9Co2612IcRzDSAazgi69I,4.9,87,(314) 833-3232
OPERATIONAL,Smoke/Vape,"6920 Chippewa St, St. Louis, MO 63109, United States",38.588283,-90.309822,Pit Stop Smoke Shop & Convenience Store LLC,ChIJJy4rOSXL2IcRbD1AQag_wXk,4.8,21,(314) 833-3336
OPERATIONAL,Smoke/Vape,"2644 Cherokee St, St. Louis, MO 63118, United States",38.5934085,-90.2273308,Mr. Nice Guy,ChIJFSdUTnS02IcRLbvX_mI6E18,4.9,1720,(314) 553-9256
OPERATIONAL,Smoke/Vape,"340 Skinker Ln, Fenton, MO 63026, United States",38.5133174,-90.4450414,Stella Blues Vapors,ChIJJx_GLdrP2IcRl8Gsu7VL2ps,4.8,268,(636) 678-7275
OPERATIONAL,Smoke/Vape,"1208 Washington Ave, St. Louis, MO 63103, United States",38.6317588,-90.1973996,TABA Smoke Shop + Novelty on Washington Ave,ChIJOWRf1Rez2IcRM_HBEQeKMMA,4.5,153,(314) 436-8588
OPERATIONAL,Smoke/Vape,"2089 Bentley Plaza, Fenton, MO 63026, United States",38.5326672,-90.49338,"Vapor Connection, St Louis",ChIJuwCbPQTR2IcR5_u6Q0xkIxQ,4.7,101,(636) 529-1310
OPERATIONAL,Smoke/Vape,"10018 Gravois Rd, Affton, MO 63123, United States",38.5503972,-90.3337694,Gravois Vapor,ChIJcTV5557J2IcRm91lUm6jfVM,4.8,111,(314) 638-6300
OPERATIONAL,Smoke/Vape,"5540 Telegraph Rd, St. Louis, MO 63129, United States",38.4711244,-90.3042288,IPUFF VAPE CBD DELTA 8,ChIJgeuE-cbH2IcRFOK5adyxEu4,4.6,29,(314) 922-1457
OPERATIONAL,Smoke/Vape,"5243 Southwest Ave, St. Louis, MO 63139, United States",38.6111293,-90.2753927,Cheapy Smokes,ChIJk5Do5Am12IcREAUG_Y_AXL4,4.7,80,(314) 772-7222
OPERATIONAL,Smoke/Vape,"1165 Gravois Rd Unit 128, Fenton, MO 63026, United States",38.4920424,-90.4851675,Habibi tobacco & vape 2,ChIJz9EhqgPR2IcRIaKzUV1tGkw,4.3,35,(636) 600-0103
OPERATIONAL,Smoke/Vape,"35 Gravois Bluffs Plaza Dr, Fenton, MO 63026, United States",38.5082545,-90.4474414,Night Owl Tobacco,ChIJ67t-FuPP2IcR_xj2p1dsKF8,4.2,5,(636) 600-0045
OPERATIONAL,Smoke/Vape,"4642 House Springs Center, House Springs, MO 63051, United States",38.4097473,-90.5761378,Cosmic Dragon,ChIJqa8aY8_Y2IcR-D5kCiB9_3M,4.5,343,(636) 671-9455
OPERATIONAL,Smoke/Vape,"6662 Mexico Rd, St Peters, MO 63376, United States",38.7896768,-90.6138928,Smoke Depot Tobacco & Vape,ChIJ27s_NAvX3ocRsGNhst8s_fU,4.6,40,(636) 387-7070
OPERATIONAL,Smoke/Vape,"2820 Vandeventer Ave, St. Louis, MO 63107, United States",38.6577788,-90.2267804,Goodies Smoke Shop & Treats,ChIJHYH-xvRL34cRV6DPkc0NJ9c,5,1,(314) 875-9190
OPERATIONAL,Smoke/Vape,"3506 Hampton Ave, St. Louis, MO 63139, United States",38.598099,-90.292292,SOHA Smoke,ChIJ1zkSvNG12IcRrKnJ5UBpvKg,5,405,(314) 887-6653
